,Unnamed: 0,Edges,Length,Demand
0,0,"(0, 1)",12,0.96
1,1,"(0, 84)",6,0.66
2,2,"(0, 150)",7,0.7
3,3,"(0, 250)",8,0.7200000000000001
4,4,"(0, 257)",8,0.8800000000000001
5,5,"(0, 270)",8,0.8
6,6,"(0, 299)",5,0.4
7,7,"(1, 2)",7,0.7
8,8,"(1, 75)",9,0.81
9,9,"(84, 83)",7,0.5599999999999999
10,10,"(84, 85)",10,0.8
11,11,"(84, 160)",4,0.4
12,12,"(84, 255)",6,0.6
13,13,"(84, 294)",6,0.54
14,14,"(150, 149)",7,0.63
15,15,"(150, 151)",6,0.6
16,16,"(250, 121)",7,0.63
17,17,"(250, 146)",6,0.54
18,18,"(250, 153)",7,0.63
19,19,"(250, 196)",6,0.48
20,20,"(250, 249)",8,0.7200000000000001
21,21,"(250, 251)",12,1.2
22,22,"(257, 40)",8,0.8800000000000001
23,23,"(257, 256)",5,0.4
24,24,"(257, 258)",4,0.36000000000000004
25,25,"(270, 58)",7,0.7
26,26,"(270, 269)",6,0.6
27,27,"(270, 271)",6,0.6
28,28,"(299, 298)",13,1.1700000000000002
29,29,"(2, 3)",4,0.4
30,30,"(2, 224)",6,0.66
31,31,"(75, 74)",12,1.08
32,32,"(75, 76)",8,0.8800000000000001
33,33,"(75, 143)",8,0.8800000000000001
34,34,"(75, 214)",4,0.44000000000000006
35,35,"(75, 246)",7,0.5599999999999999
36,36,"(3, 4)",6,0.66
37,37,"(3, 126)",10,1.1
38,38,"(3, 240)",7,0.5599999999999999
39,39,"(3, 252)",10,1.0
40,40,"(224, 223)",5,0.5
41,41,"(224, 225)",6,0.6
42,42,"(224, 228)",6,0.54
43,43,"(4, 5)",7,0.77
44,44,"(4, 45)",2,0.18000000000000002
45,45,"(4, 66)",10,1.1
46,46,"(4, 242)",7,0.7
47,47,"(4, 288)",5,0.45
48,48,"(126, 8)",6,0.54
49,49,"(126, 102)",6,0.66
50,50,"(126, 125)",6,0.54
